Micro Market,Overlap Count,Market Unique Products
Hilton Garden Inn-Home2 Suites Anaheim Resort,171,198
Holiday Inn & Suites Anaheim,166,178
The Westin Long Beach,166,177
The Westin Pasadena,151,177
Hotel Dena,147,161
Hyatt Regency Los Angeles International Airport,147,154
Sheraton Gateway Los Angeles Hotel,141,148
Clarion Hotel Market,133,137
E-Central Downtown Los Angeles Hotel,132,138
Crowne Plaza San Pedro,132,135
Embassy Suites by Hilton Anaheim North,129,140
Motel 6 Anaheim Maingate Market,125,135
Best Western Plus Stovall's Inn,125,148
Behr Main Den 1st Market,124,142
Desert Palms Market,123,136
DoubleTree by Hilton Hotel Los Angeles - Rosemead,121,126
Crowne Plaza San Diego-Mission Valley,119,126
Crowne Plaza Costa Mesa Orange County,115,121
Behr Standard Market,114,126
Ayres Hotel Anaheim,110,119
Club Wyndham Oceanside Pier Resort,105,108
Miyako LA Downtown Market,104,110
Holiday Inn Ontario Airport Market,102,104
DoubleTree by Hilton Pomona,100,102
Best Western Plus Park Place Anaheim,99,110
Fairfield Inn/TownePlace Suites Barstow,97,97
Anaheim Desert Inn and Suites,94,100
Hyatt Place San Diego Vista-Carlsbad,93,94
Bobrick Market,92,104
Ayres Hotel Chino Hills,92,105
Miyako Torrance Market,92,95
Holiday Inn Hotel & Suites Monterey Park,91,92
Hyatt House Los Angeles-LAX-Manhattan Beach,90,94
WorldMark Indio Activities Center Market,89,94
Best Western Plus Meridian Market,89,89
Ayres Hotel Manhattan Beach Hawthorne,88,88
Ramada Inn Burbank Market,88,89
Holiday Inn Santa Ana,87,88
SpringHill Suites By Marriott Redlands,86,87
Holiday Inn El Monte,85,85
Staybridge Suites Oxnard River Ridge,85,87
Del Sol Inn Anaheim,85,87
Fairfield by Marriott Anaheim North-Buena Park,85,85
WorldMark Mission Valley,84,85
Motel 6 Carson,83,84
Holiday Inn Diamond Bar-Pomona,83,83
Kings Inn Anaheim Market,83,91
Hyatt Place Pasadena,82,88
Quality Inn Placentia Anaheim Fullerton,82,82
WorldMark - Oceanside Market,80,80
Long Beach Convention Center Promenade,80,89
Ayres Hotel and Spa Mission Viejo,79,88
Embassy Suites by Hilton Palm Desert,78,79
Marina Inn Market,78,78
Comfort Suites Oceanside Camp Pendleton,77,77
Motel 6 Carlsbad,77,77
FFI - Moorpark Market,76,79
Holiday Inn Oxnard-Ventura,76,76
Comfort Inn - Anaheim,75,79
Holiday Inn Oceanside Camp Pendleton Area,75,75
BLVD Hotel & Spa,75,82
Ayres Hotel Seal Beach,75,75
Vistar Fontana,74,78
Holiday Inn Express Pasadena Market,74,75
HIE - Manchester Market,71,71
Holiday Inn Express & Suites Ventura,71,71
The Anza A Calabasas Hotel,71,73
Holiday Inn Express & Suites Hesperia Market,70,70
Holiday Inn Express & Suites Corona,70,70
Behr Garry Market,69,74
The Hotel Amarano Burbank-Hollywood,69,75
Ayres Suites Yorba Linda,68,68
Behr Yale Market,68,71
First Service Residential HQ Market,68,75
La Quinta Inn & Suites Pomona,65,65
Staybridge Suites Palmdale,65,67
Travelodge LAX South,65,65
Motel 6 Westminster North,64,64
HIE - Twentynine Palms Market,63,66
Residence Inn San Diego North San Marcos,63,70
Four Points Sheraton - Ventura,63,63
Fairfield Inn Los Alamitos Market,63,64
Best Western Plus Heritage Inn Rancho Cucamonga,63,63
Ramada by Wyndham Hawthorne-LA Stadium,62,62
Best Western Plus Thousand Oaks Inn,62,62
Best Western Plus LA Mid-Town Hotel,62,62
Holiday Inn Express & Suites Chatsworth,62,62
Holiday Inn Express Port Hueneme,61,61
La Quinta Inn and Suites La Habra,61,61
Best Western Plus West Covina Inn,61,61
Long Beach Convention & Entertainment Center,60,64
WorldMark San Diego Balboa Park,60,60
Fairfield by Marriott West Covina,59,59
Holiday Inn Express San Clemente,59,60
Executive Residency by Best Western Victorville,58,59
Comfort Inn & Suites Near Universal N. Hollywood,57,57
Ayres Hotel Fountain Valley,57,57
Behr Cub Den Market,57,58
Holiday Inn Express & Suites Barstow,56,56
Comfort Inn - Encinitas Near Legoland,56,56
Comfort Inn - Huntington Beach,56,56
Homewood Suites by Hilton Carlsbad,56,56
City24 Hotel- Little Italy Mission Hills,55,55
Holiday Inn & Suites Barstow,55,55
Dolphin's Cove,55,55
Comfort Inn - Gaslamp Convention Center,54,55
La Quinta Inn & Suites by Wyndham Thousand Oaks,54,54
Hampton Inn & Suites Barstow,53,53
Days Inn & Suites Anaheim,53,53
Behr Midway Coatings Cantina Market,52,54
Lincoln Hotel Monterey Park,51,51
SureStay by Best Western Ontario Airport,51,51
Ramada Anaheim Convention Center,51,55
Best Western Hesperia Victorville Suites,50,50
Best Western Plus Redondo Beach Inn,50,50
Best Western Norwalk Inn,48,48
San Manuel Service Center,48,48
WorldMark Palm Springs,47,47
Behr Killz Corner Market,47,49
SureStay Hotel by Best Western Beverly Hills,46,46
WorldMark Palm Springs Plaza Resort & Spa,45,45
Comfort Suites Barstow,45,45
Ramada National City Market,44,44
Best Western Plus Pavilions,44,44
HIE - Rancho Cucamonga Market,43,43
Holiday Inn Express & Suites San Dimas,43,43
Inn at the Park,40,40
Best Western Oceanside Inn,40,40
Club Wyndham Harbour Lights,39,39
Best Western - Glendora Market,38,38
Motel 6 Buena Park,37,37
Best Western Plus LAX Market,36,37
Baymont by Wyndham Monterey Park,34,34
Comfort Inn - Moreno Valley,34,34
Comfort Suites - San Clemente,34,34
Travelodge Commerce Market,33,33
Ramada by Wyndham Barstow,33,33
WorldMark Big Bear,32,32
Altura HOC 1st Floor Market,32,33
Hawthorn Suites by Wyndham Victorville Market,30,30
Quality Inn & Suites Camarillo-Oxnard,30,30
SureStay Plus Hotel By Best Western Upland Market,30,30
Surestay Twentynine Palms Market,28,28
Best Western Diamond Bar,25,25
Peacock Suites,23,23
Holiday Inn Express - Lake Forest Market,22,22
MainStay Suites Moreno Valley,19,19
Ultraserv Lounge Market,18,18
Queens Inn Anaheim,18,18
First Service Residential Shared Services Market,18,19
Altura HOC 2nd Floor Market,9,9
Cimarron Resort Condominium Association,7,7
